# Метеостанция Лондон / Сент-Джеймский парк, Великобритания, WMO_ID=3770, выборка с 01.01.2013 по 30.07.2013, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=3770&lang=ru
#
"Местное время в Лондоне / Сент-Джеймском парке";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.07.2013 22:00";"21.2";"";"";"";"72";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"21.07.2013 19:00";"24.9";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"27.0";"";"";"";"";"";"";"15.9";"Осадков нет";"12";"";"";"";"";
"21.07.2013 16:00";"25.6";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"";"";"";"";"";"";
"21.07.2013 13:00";"22.8";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"Осадков нет";"6";"";"";"";"";
"21.07.2013 10:00";"17.8";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"21.07.2013 07:00";"17.3";"";"";"";"84";"";"";"";"";"";" ";"";"";"17.1";"";"";"";"";"";"";"";"14.5";"Осадков нет";"12";"";"17.0";"";"";
"21.07.2013 04:00";"17.3";"";"";"";"77";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"21.07.2013 01:00";"17.5";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"Осадков нет";"6";"";"";"";"";
"20.07.2013 22:00";"18.8";"";"";"";"77";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"20.07.2013 19:00";"21.6";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"23.5";"";"";"";"";"";"";"14.4";"Осадков нет";"12";"";"";"";"";
"20.07.2013 16:00";"22.6";"";"";"";"61";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"20.07.2013 13:00";"19.9";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"Осадков нет";"6";"";"";"";"";
"20.07.2013 10:00";"19.6";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"20.07.2013 07:00";"17.8";"";"";"";"82";"";"";"";"";"";" ";"";"";"16.8";"";"";"";"";"";"";"";"14.6";"Осадков нет";"12";"";"15.0";"";"";
"20.07.2013 01:00";"19.3";"";"";"";"74";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"Осадков нет";"6";"";"";"";"";
"19.07.2013 22:00";"21.7";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"19.07.2013 19:00";"25.5";"";"";"";"50";"";"";"";"";"";" ";"";"";"";"28.4";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"19.07.2013 16:00";"27.9";"";"";"";"41";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"19.07.2013 13:00";"26.0";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"19.07.2013 07:00";"17.0";"";"";"";"68";"";"";"";"";"";" ";"";"";"16.1";"";"";"";"";"";"";"";"11.0";"";"";"";"13.0";"";"";
"19.07.2013 04:00";"17.1";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"19.07.2013 01:00";"18.7";"";"";"";"59";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"18.07.2013 22:00";"20.5";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"18.07.2013 19:00";"24.4";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"28.6";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"18.07.2013 16:00";"28.4";"";"";"";"39";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"18.07.2013 13:00";"27.1";"";"";"";"43";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"18.07.2013 10:00";"23.5";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"18.07.2013 07:00";"18.6";"";"";"";"72";"";"";"";"";"";" ";"";"";"18.1";"";"";"";"";"";"";"";"13.5";"";"";"";"15.0";"";"";
"18.07.2013 04:00";"18.8";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"18.07.2013 01:00";"20.8";"";"";"";"61";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"17.07.2013 22:00";"24.0";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"17.07.2013 19:00";"27.5";"";"";"";"44";"";"";"";"";"";" ";"";"";"";"31.2";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"17.07.2013 17:00";"29.1";"";"";"";"39";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"17.07.2013 16:00";"30.4";"";"";"";"34";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"17.07.2013 15:00";"31.1";"";"";"";"33";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"17.07.2013 14:00";"30.0";"";"";"";"35";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"17.07.2013 13:00";"28.5";"";"";"";"37";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.3";"";"";"";"";"";"";
"17.07.2013 12:00";"29.0";"";"";"";"38";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"17.07.2013 11:00";"27.3";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"17.07.2013 10:00";"25.2";"";"";"";"47";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"17.07.2013 09:00";"23.1";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"17.07.2013 08:00";"20.6";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"17.07.2013 07:00";"18.6";"";"";"";"76";"";"";"";"";"";" ";"";"";"17.6";"";"";"";"";"";"";"";"14.2";"";"";"";"15.0";"";"";
"17.07.2013 06:00";"17.7";"";"";"";"73";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"17.07.2013 05:00";"18.1";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"";"";"";"";"";"";
"17.07.2013 04:00";"19.1";"";"";"";"66";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"17.07.2013 03:00";"19.9";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.3";"";"";"";"";"";"";
"17.07.2013 02:00";"21.1";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"17.07.2013 01:00";"22.0";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"17.07.2013 00:00";"22.6";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"16.07.2013 23:00";"23.9";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"16.07.2013 22:00";"24.7";"";"";"";"52";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"16.07.2013 21:00";"26.4";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"16.07.2013 20:00";"27.5";"";"";"";"50";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"16.07.2013 19:00";"27.9";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"30.3";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"16.07.2013 18:00";"29.1";"";"";"";"37";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"16.07.2013 17:00";"29.4";"";"";"";"34";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"16.07.2013 16:00";"29.4";"";"";"";"34";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"16.07.2013 15:00";"29.3";"";"";"";"31";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.3";"";"";"";"";"";"";
"16.07.2013 14:00";"29.5";"";"";"";"34";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"16.07.2013 13:00";"28.4";"";"";"";"32";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"16.07.2013 12:00";"27.3";"";"";"";"43";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"16.07.2013 11:00";"25.9";"";"";"";"53";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"";"";"";"";"";"";
"16.07.2013 10:00";"23.6";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"16.07.2013 09:00";"21.3";"";"";"";"69";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"16.07.2013 08:00";"20.5";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"16.07.2013 07:00";"18.9";"";"";"";"78";"";"";"";"";"";" ";"";"";"17.6";"";"";"";"";"";"";"";"15.0";"Осадков нет";"12";"";"15.0";"";"";
"16.07.2013 06:00";"18.0";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"16.07.2013 05:00";"18.0";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"16.07.2013 04:00";"18.3";"";"";"";"78";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.3";"";"";"";"";"";"";
"16.07.2013 03:00";"18.8";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"16.07.2013 02:00";"19.7";"";"";"";"69";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"16.07.2013 01:00";"21.6";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"Осадков нет";"6";"";"";"";"";
"16.07.2013 00:00";"22.2";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.5";"";"";"";"";"";"";
"15.07.2013 23:00";"23.7";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.9";"";"";"";"";"";"";
"15.07.2013 22:00";"24.8";"";"";"";"36";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"15.07.2013 21:00";"26.4";"";"";"";"31";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"15.07.2013 20:00";"27.4";"";"";"";"27";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"15.07.2013 19:00";"28.1";"";"";"";"26";"";"";"";"";"";" ";"";"";"";"30.4";"";"";"";"";"";"";"6.6";"Осадков нет";"12";"";"";"";"";
"15.07.2013 18:00";"29.5";"";"";"";"24";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"15.07.2013 17:00";"29.9";"";"";"";"21";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"15.07.2013 16:00";"28.9";"";"";"";"23";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"15.07.2013 15:00";"29.3";"";"";"";"24";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"15.07.2013 14:00";"29.7";"";"";"";"24";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"15.07.2013 13:00";"27.9";"";"";"";"22";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"Осадков нет";"6";"";"";"";"";
"15.07.2013 12:00";"26.9";"";"";"";"27";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"15.07.2013 11:00";"25.2";"";"";"";"33";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"15.07.2013 10:00";"24.0";"";"";"";"34";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"15.07.2013 09:00";"22.4";"";"";"";"41";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"15.07.2013 08:00";"20.0";"";"";"";"47";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"15.07.2013 07:00";"18.7";"";"";"";"61";"";"";"";"";"";" ";"";"";"18.1";"";"";"";"";"";"";"";"11.0";"Осадков нет";"12";"";"15.0";"";"";
"15.07.2013 06:00";"18.8";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"15.07.2013 05:00";"19.3";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"15.07.2013 04:00";"20.3";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"15.07.2013 03:00";"21.1";"";"";"";"59";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.7";"";"";"";"";"";"";
