# Метеостанция Овруч, Украина, WMO_ID=33213, выборка с 01.01.2019 по 30.07.2019, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33213&lang=ru
#
"Местное время в Овруче";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.07.2019 00:00";"20.2";"";"";"";"81";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.07.2019 21:00";"23.2";"";"";"";"76";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"29.9";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"28.07.2019 18:00";"29.4";"741.0";"";"";"40";"";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.07.2019 15:00";"28.9";"742.0";"";"";"45";"";"1";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.07.2019 12:00";"26.7";"";"";"";"55";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"28.07.2019 09:00";"22.4";"";"";"";"72";"Ветер, дующий с северо-востока";"1";"";"";"60%.";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"28.07.2019 06:00";"16.5";"";"";"";"91";"Штиль, безветрие";"0";"";"";"40%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"28.07.2019 03:00";"18.8";"744.0";"";"";"87";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.07.2019 00:00";"20.2";"";"";"";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"27.07.2019 21:00";"23.3";"";"";"";"71";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"27.07.2019 18:00";"26.4";"743.0";"";"";"52";"";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.07.2019 15:00";"25.6";"743.0";"";"";"55";"";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.07.2019 12:00";"23.8";"744.0";"";"";"61";"";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.07.2019 09:00";"19.4";"";"";"";"83";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"15.1";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"27.07.2019 06:00";"15.2";"";"";"";"94";"Ветер, дующий с востока";"1";"";"";"20–30%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"27.07.2019 03:00";"16.6";"";"";"";"91";"Ветер, дующий с юго-востока";"1";"";"";"40%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"27.07.2019 00:00";"17.8";"";"";"";"91";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"26.07.2019 21:00";"19.8";"744.0";"";"";"87";"";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.07.2019 18:00";"22.0";"";"";"";"74";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.07.2019 15:00";"23.5";"";"";"";"59";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"26.07.2019 12:00";"20.8";"";"";"";"71";"Ветер, дующий с востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"26.07.2019 09:00";"17.0";"744.0";"";"";"91";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.07.2019 06:00";"14.7";"744.0";"";"";"97";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.07.2019 03:00";"15.4";"";"";"";"97";"Ветер, дующий с запада";"1";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"26.07.2019 00:00";"16.0";"";"";"";"94";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"25.07.2019 21:00";"18.8";"745.0";"";"";"81";"";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.07.2019 18:00";"23.0";"";"";"";"57";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.07.2019 15:00";"24.8";"746.0";"";"";"46";"";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.07.2019 12:00";"22.8";"747.0";"";"";"52";"";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.07.2019 09:00";"19.8";"";"";"";"70";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"25.07.2019 06:00";"15.0";"";"";"";"89";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"25.07.2019 03:00";"15.0";"747.0";"";"";"91";"";"2";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.07.2019 00:00";"16.0";"";"";"";"90";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.07.2019 21:00";"19.6";"746.0";"";"";"72";"";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.07.2019 18:00";"24.3";"744.0";"";"";"46";"";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.07.2019 15:00";"23.9";"";"";"";"49";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"24.07.2019 12:00";"23.1";"";"";"";"64";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"24.07.2019 09:00";"17.2";"745.0";"";"";"89";"";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.07.2019 06:00";"14.8";"745.0";"760.0";"";"94";"";"1";"";"";"20–30%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"13.9";"";"";"";"";"";"";
"24.07.2019 03:00";"14.3";"";"";"";"95";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"24.07.2019 00:00";"15.6";"";"";"";"94";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"23.07.2019 21:00";"17.8";"745.0";"";"";"74";"";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.07.2019 18:00";"20.2";"";"";"";"61";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"23.07.2019 15:00";"22.0";"745.0";"";"";"53";"";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.07.2019 12:00";"21.4";"746.0";"";"";"54";"";"2";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.07.2019 09:00";"18.4";"";"";"";"71";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"14.1";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"23.07.2019 06:00";"14.6";"747.0";"";"";"87";"";"0";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.07.2019 03:00";"16.1";"747.0";"";"";"90";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23.07.2019 00:00";"17.0";"";"";"";"87";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"22.07.2019 21:00";"20.0";"747.0";"";"";"82";"";"0";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.07.2019 18:00";"22.6";"747.0";"";"";"68";"";"2";"";"";"";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.07.2019 15:00";"22.8";"";"";"";"70";"Ветер, дующий с запада";"3";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"22.07.2019 12:00";"19.1";"";"";"";"93";"Ветер, дующий с юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"22.07.2019 09:00";"18.3";"";"";"";"95";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"17.1";"";"";"";"";"";"";"4.0";"";"0.7";"12";"";"";"";"";
"22.07.2019 06:00";"17.5";"";"";"";"94";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"22.07.2019 03:00";"17.3";"747.0";"";"";"94";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22.07.2019 00:00";"18.7";"";"";"";"87";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2019 21:00";"22.6";"";"";"";"70";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"28.6";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"21.07.2019 18:00";"28.0";"";"";"";"43";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"21.07.2019 15:00";"27.6";"";"";"";"44";"Ветер, дующий с востока";"2";"";"";"40%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"21.07.2019 12:00";"24.9";"748.0";"";"";"55";"";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.07.2019 09:00";"19.8";"749.0";"";"";"77";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.07.2019 06:00";"15.8";"749.0";"";"";"94";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.07.2019 03:00";"17.0";"749.0";"";"";"90";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21.07.2019 00:00";"16.2";"";"";"";"91";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"20.07.2019 21:00";"18.8";"";"";"";"86";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"28.3";"";"";"";"";"";"10.0";"";"24.0";"12";"";"";"";"";
"20.07.2019 18:00";"20.9";"748.0";"";"";"72";"";"1";"";"";"";"Гроза (с осадками или без них). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.07.2019 15:00";"25.0";"747.0";"";"";"47";"";"2";"";"";"";"Гроза, но без осадков, в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.07.2019 12:00";"25.7";"748.3";"762.8";"";"52";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"15.1";"";"";"";"";"";"";
"20.07.2019 09:00";"17.8";"";"";"";"79";"Ветер, дующий с юго-запада";"1";"";"";"60%.";" ";"";"";"12.8";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"20.07.2019 06:00";"13.4";"748.0";"";"";"93";"";"1";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20.07.2019 03:00";"13.0";"";"";"";"94";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"20.07.2019 00:00";"14.8";"";"";"";"88";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.07.2019 21:00";"20.6";"";"";"";"64";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"25.6";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"19.07.2019 18:00";"24.8";"745.0";"";"";"54";"";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.07.2019 15:00";"23.1";"";"";"";"55";"Ветер, дующий с юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"19.07.2019 12:00";"22.1";"746.0";"";"";"53";"";"1";"";"";"60%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19.07.2019 09:00";"19.1";"";"";"";"72";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"11.4";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"19.07.2019 06:00";"11.4";"";"";"";"97";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"19.07.2019 03:00";"12.5";"";"";"";"96";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"19.07.2019 00:00";"15.2";"";"";"";"91";"Ветер, дующий с запада";"1";"";"";"20–30%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"18.07.2019 21:00";"15.8";"";"";"";"89";"Штиль, безветрие";"0";"";"";"40%.";"Состояние неба в общем не изменилось. ";"";"";"";"21.7";"";"";"";"";"";"10.0";"";"5.0";"12";"";"";"";"";
"18.07.2019 18:00";"19.8";"743.0";"";"";"72";"";"1";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18.07.2019 15:00";"20.9";"";"";"";"54";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"18.07.2019 12:00";"18.2";"742.2";"757.0";"";"66";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"11.7";"";"";"";"";"";"";
"18.07.2019 09:00";"14.7";"";"";"";"83";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"9.9";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"18.07.2019 06:00";"10.0";"";"";"";"95";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"18.07.2019 03:00";"11.8";"";"";"";"94";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"18.07.2019 00:00";"12.4";"";"";"";"92";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"17.07.2019 21:00";"14.4";"";"";"";"88";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"19.6";"";"";"";"";"";"10.0";"";"5.0";"12";"";"";"";"";
"17.07.2019 18:00";"15.6";"";"";"";"85";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2019 15:00";"15.2";"";"";"";"85";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"17.07.2019 12:00";"19.4";"";"";"";"52";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.07.2019 09:00";"16.6";"";"";"";"70";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"12.6";"";"";"";"";"";"";"10.0";"";"0.3";"12";"";"";"";"";
"17.07.2019 06:00";"12.9";"";"";"";"94";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"17.07.2019 03:00";"15.0";"";"";"";"88";"Ветер, дующий с северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"17.07.2019 00:00";"15.7";"";"";"";"87";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2019 21:00";"18.9";"";"";"";"70";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"24.1";"";"";"";"";"";"10.0";"";"Осадков нет";"6";"";"";"";"";
"16.07.2019 18:00";"23.4";"";"";"";"39";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2019 15:00";"23.8";"741.0";"";"";"45";"";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.07.2019 12:00";"22.4";"742.4";"757.0";"";"47";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.5";"";"";"";"";"";"";
"16.07.2019 09:00";"17.1";"742.0";"";"";"79";"";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.07.2019 06:00";"10.0";"743.0";"";"";"97";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16.07.2019 03:00";"11.7";"";"";"";"96";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"16.07.2019 00:00";"13.0";"";"";"";"96";"Штиль, безветрие";"0";"";"";"60%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"15.07.2019 21:00";"15.6";"";"";"";"86";"Штиль, безветрие";"0";"";"";"60%.";"Состояние неба в общем не изменилось. ";"";"";"";"20.3";"";"";"";"";"";"10.0";"";"1.0";"12";"";"";"";"";
"15.07.2019 18:00";"17.8";"743.0";"";"";"79";"";"1";"";"";"";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.07.2019 15:00";"19.0";"742.0";"";"";"77";"";"0";"";"";"";"Ливневый(ые) дождь(и). ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.07.2019 12:00";"17.7";"742.0";"";"";"76";"";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15.07.2019 09:00";"14.4";"";"";"";"97";"Ветер, дующий с севера";"1";"";"";"100%.";"Дымка. ";"";"";"12.7";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"15.07.2019 06:00";"13.4";"";"";"";"96";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"15.07.2019 03:00";"13.2";"";"";"";"96";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"4.0";"";"Осадков нет";"6";"";"";"";"";
"15.07.2019 00:00";"14.0";"";"";"";"97";"Штиль, безветрие";"0";"";"";"40%.";"Дымка. ";"";"";"";"";"";"";"";"";"";"1.0";"";"";"";"";"";"";"";
"14.07.2019 21:00";"15.4";"";"";"";"93";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"";"";"";"20.7";"";"";"";"";"";"4.0";"";"19.0";"12";"";"";"";"";
"14.07.2019 18:00";"18.3";"742.0";"";"";"83";"";"1";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.07.2019 15:00";"19.1";"742.0";"";"";"73";"";"2";"";"";"";"Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.07.2019 12:00";"19.0";"742.0";"";"";"67";"";"1";"";"";"";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.07.2019 09:00";"17.3";"742.0";"";"";"74";"";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14.07.2019 06:00";"11.9";"742.0";"";"";"93";"";"0";"";"";"";"Дымка. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
