# Метеостанция Варшава / Окенце (аэропорт), Польша, WMO_ID=12375, выборка с 01.01.2011 по 31.12.2011, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=12375&lang=ru
#
"Местное время в Варшаве / Окенце (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2011 22:00";"5.9";"755.2";"765.2";"";"77";"Ветер, дующий с юго-юго-запада";"3";"";"9";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"15.0";"2.2";"";"";"";"";"";"";
"28.12.2011 19:00";"6.5";"757.2";"767.1";"";"84";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"-0.7";"6.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"15.0";"4.0";"Осадков нет";"12";"";"";"";"";
"28.12.2011 16:00";"5.8";"759.2";"769.2";"";"96";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"100-200";"";"";"3.5";"5.2";"";"";"";"";"";"";
"28.12.2011 13:00";"5.8";"760.8";"770.8";"";"91";"Ветер, дующий с юга";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"300-600";"";"";"10.0";"4.4";"Осадков нет";"6";"";"";"";"";
"28.12.2011 10:00";"4.1";"763.0";"773.0";"";"93";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"3.1";"";"";"";"";"";"";
"28.12.2011 07:00";"1.3";"763.4";"773.6";"";"97";"Ветер, дующий с западо-юго-запада";"1";"";"";"10%  или менее, но не 0";" ";"";"";"1.2";"8.3";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"0.9";"Следы осадков";"12";"Поверхность почвы влажная.";"";"";"";
"28.12.2011 04:00";"2.9";"763.6";"773.7";"";"95";"Ветер, дующий с запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"2.2";"";"";"";"";"";"";
"28.12.2011 01:00";"5.8";"763.1";"773.2";"";"86";"Ветер, дующий с западо-северо-запада";"6";"";"10";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Дождь.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"3.6";"Следы осадков";"6";"";"";"";"";
"27.12.2011 22:00";"8.1";"762.5";"772.4";"";"94";"Ветер, дующий с запада";"5";"";"10";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"7.2";"";"";"";"";"";"";
"27.12.2011 19:00";"8.2";"761.7";"771.6";"";"96";"Ветер, дующий с запада";"6";"";"14";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Дождь.";"8.1";"9.2";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"5.0";"7.6";"0.2";"12";"";"";"";"";
"27.12.2011 16:00";"8.5";"761.3";"771.2";"";"93";"Ветер, дующий с запада";"6";"12";"14";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Дождь.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"7.4";"";"";"";"";"";"";
"27.12.2011 13:00";"8.8";"761.2";"771.1";"";"92";"Ветер, дующий с запада";"6";"11";"12";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"7.0";"7.6";"Следы осадков";"6";"";"";"";"";
"27.12.2011 10:00";"8.9";"762.2";"772.1";"";"90";"Ветер, дующий с запада";"6";"";"12";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"10.0";"7.3";"";"";"";"";"";"";
"27.12.2011 07:00";"8.8";"762.2";"772.1";"";"87";"Ветер, дующий с запада";"4";"";"13";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"8.2";"8.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"20.0";"6.8";"Следы осадков";"12";"Поверхность почвы влажная.";"";"";"";
"27.12.2011 04:00";"8.5";"762.2";"772.1";"";"94";"Ветер, дующий с запада";"7";"13";"13";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"10.0";"7.6";"";"";"";"";"";"";
"27.12.2011 01:00";"8.5";"762.8";"772.6";"";"95";"Ветер, дующий с запада";"6";"";"13";"100%.";"Дымка. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"100-200";"";"";"7.0";"7.7";"Следы осадков";"6";"";"";"";"";
"26.12.2011 22:00";"8.3";"762.6";"772.5";"";"97";"Ветер, дующий с запада";"6";"11";"11";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"6.0";"7.9";"";"";"";"";"";"";
"26.12.2011 19:00";"8.2";"762.2";"772.1";"";"98";"Ветер, дующий с запада";"5";"";"12";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.1";"8.5";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"7.9";"Следы осадков";"12";"";"";"";"";
"26.12.2011 16:00";"8.5";"761.4";"771.3";"";"92";"Ветер, дующий с запада";"6";"11";"12";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"10.0";"7.3";"";"";"";"";"";"";
"26.12.2011 13:00";"7.7";"760.6";"770.6";"";"93";"Ветер, дующий с запада";"7";"13";"13";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"8.0";"6.6";"Следы осадков";"6";"";"";"";"";
"26.12.2011 10:00";"7.0";"760.6";"770.6";"";"92";"Ветер, дующий с запада";"6";"12";"12";"100%.";"Дождь (незамерзающий) неливневый. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"10.0";"5.8";"";"";"";"";"";"";
"26.12.2011 07:00";"6.1";"759.8";"769.7";"";"93";"Ветер, дующий с западо-юго-запада";"4";"";"10";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Морось.";"3.2";"6.1";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"200-300";"";"";"10.0";"5.1";"0.2";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"";"";"";
"26.12.2011 04:00";"4.9";"760.0";"770.0";"";"94";"Ветер, дующий с юго-запада";"4";"";"9";"100%.";"Дымка. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"8.0";"4.0";"";"";"";"";"";"";
"26.12.2011 01:00";"4.1";"760.8";"770.8";"";"97";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Морось (незамерзающая) или снежные зерна неливневые. ";"Морось.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"100-200";"";"";"7.0";"3.7";"Следы осадков";"6";"";"";"";"";
"25.12.2011 22:00";"3.5";"761.3";"771.4";"";"95";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"200-300";"";"";"7.0";"2.8";"";"";"";"";"";"";
"25.12.2011 19:00";"3.3";"761.2";"771.2";"";"86";"Ветер, дующий с юго-запада";"3";"";"";"100%.";"Дождь (незамерзающий) неливневый. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.2";"3.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"15.0";"1.2";"Следы осадков";"12";"";"";"";"";
"25.12.2011 16:00";"3.3";"760.9";"770.9";"";"77";"Ветер, дующий с юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"20.0";"-0.3";"";"";"";"";"";"";
"25.12.2011 13:00";"3.6";"760.0";"770.1";"";"84";"Ветер, дующий с запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"1.1";"Осадков нет";"6";"";"";"";"";
"25.12.2011 10:00";"2.5";"759.5";"769.6";"";"89";"Ветер, дующий с западо-северо-запада";"6";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"20.0";"0.9";"";"";"";"";"";"";
"25.12.2011 07:00";"2.7";"757.3";"767.3";"";"88";"Ветер, дующий с западо-северо-запада";"6";"";"12";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.7";"5.0";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"20.0";"0.9";"2.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"";"";"";
"25.12.2011 04:00";"3.0";"755.1";"765.2";"";"97";"Ветер, дующий с западо-северо-запада";"6";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"2.6";"";"";"";"";"";"";
"25.12.2011 01:00";"4.8";"752.6";"762.5";"";"99";"Ветер, дующий с запада";"4";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Морось.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"5.0";"4.7";"1.0";"6";"";"";"";"";
"24.12.2011 22:00";"4.6";"751.5";"761.4";"";"98";"Ветер, дующий с юго-запада";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"5.0";"4.3";"";"";"";"";"";"";
"24.12.2011 19:00";"3.4";"750.6";"760.6";"";"100";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Дымка. ";"Дождь.";"Морось.";"1.1";"3.4";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"7.0";"3.4";"0.6";"12";"";"";"";"";
"24.12.2011 16:00";"3.1";"";"";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Морось.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"3.5";"3.1";"";"";"";"";"";"";
"24.12.2011 13:00";"2.6";"749.7";"759.7";"";"100";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось незамерзающая непрерывная умеренная в срок наблюдения. ";"Дождь.";"Морось.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"50-100";"";"";"1.1";"2.6";"0.4";"6";"";"";"";"";
"24.12.2011 10:00";"1.7";"749.8";"759.8";"";"100";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Туман или ледяной туман или сильная мгла.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"Менее 50";"";"";"1.0";"1.7";"";"";"";"";"";"";
"24.12.2011 04:00";"0.8";"750.2";"760.3";"";"100";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Морось.";"Морось.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"50-100";"";"";"2.2";"0.8";"";"";"";"";"";"";
"24.12.2011 01:00";"0.4";"751.5";"761.6";"";"97";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Морось незамерзающая непрерывная слабая в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"";"";"3.0";"0.0";"Следы осадков";"6";"";"";"";"";
"23.12.2011 22:00";"0.4";"752.9";"763.0";"";"93";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Дымка. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"";"";"5.0";"-0.6";"";"";"";"";"";"";
"23.12.2011 19:00";"0.2";"754.0";"764.1";"";"92";"Ветер, дующий с юго-востока";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-2.7";"0.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"";"";"5.0";"-0.9";"Осадков нет";"12";"";"";"";"";
